時間,設備,值
2024-10-26 11:55:23,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:25,SA-45/TEMPERATURE,26.11
2024-10-26 11:55:27,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:29,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:31,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:35,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:39,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:41,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:43,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:45,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:47,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:49,SA-45/TEMPERATURE,25.64
2024-10-26 11:55:51,SA-45/TEMPERATURE,25.17
2024-10-26 11:55:59,SA-45/TEMPERATURE,25.64
2024-10-26 11:56:07,SA-45/TEMPERATURE,25.17
2024-10-26 11:56:09,SA-45/TEMPERATURE,25.64
2024-10-26 11:56:13,SA-45/TEMPERATURE,25.17
2024-10-26 11:56:17,SA-45/TEMPERATURE,25.64
2024-10-26 11:56:19,SA-45/TEMPERATURE,25.17
2024-10-26 11:56:21,SA-45/TEMPERATURE,26.11
2024-10-26 11:56:23,SA-45/TEMPERATURE,25.64
2024-10-26 11:57:32,SA-45/TEMPERATURE,25.17
2024-10-26 11:57:35,SA-45/LED_LEVEL,6
2024-10-26 11:57:35,SA-45/LED_LEVEL,5
2024-10-26 11:57:36,SA-45/TEMPERATURE,25.64
2024-10-26 11:57:36,SA-45/LED_LEVEL,6
2024-10-26 11:57:37,SA-45/LED_LEVEL,7
2024-10-26 11:57:38,SA-45/TEMPERATURE,25.17
2024-10-26 11:57:38,SA-45/LED_LEVEL,8
2024-10-26 11:57:39,SA-45/LED_LEVEL,9
2024-10-26 11:57:40,SA-45/TEMPERATURE,25.64
2024-10-26 11:57:48,SA-45/TEMPERATURE,26.11
2024-10-26 11:57:51,SA-45/LED_LEVEL,10
2024-10-26 11:57:52,SA-45/TEMPERATURE,25.64
2024-10-26 11:57:53,SA-45/LED_LEVEL,9
2024-10-26 11:57:53,SA-45/LED_LEVEL,8
2024-10-26 11:57:54,SA-45/TEMPERATURE,26.11
2024-10-26 11:57:55,SA-45/LED_LEVEL,7
2024-10-26 11:57:55,SA-45/LED_LEVEL,5
2024-10-26 11:57:57,SA-45/LED_LEVEL,7
2024-10-26 11:57:57,SA-45/LED_LEVEL,8
2024-10-26 11:57:58,SA-45/TEMPERATURE,25.64
2024-10-26 11:57:58,SA-45/LED_LEVEL,9
2024-10-26 11:58:00,SA-45/TEMPERATURE,26.11
2024-10-26 11:58:08,SA-45/TEMPERATURE,25.64
2024-10-26 11:58:14,SA-45/TEMPERATURE,26.11
2024-10-26 11:58:18,SA-45/TEMPERATURE,25.64
2024-10-26 11:58:20,SA-45/TEMPERATURE,26.11
